
  Obs        Date  SpecificHumidity  RelativeHumidity  Temperature  Precipitation  log_Precipitation
-----  ----------  ----------------  ----------------  -----------  -------------  -----------------
    1  12/01/2004              9.34             54.44        18.29           0.01       0.0099503309
    2  01/01/2005                 8              49.5        22.85           3.47       1.4973884086
    3  02/01/2005              8.54             46.69         26.7              0                  0
    4  03/01/2005             10.19              48.5        24.38           0.41       0.3435897044
    5  04/01/2005             11.96              48.5        23.25          13.56       2.6782780428
    6  05/01/2005             15.87             59.81        18.37          15.65       2.8124102164
    7  06/01/2005             19.17             76.12        12.55         799.32       6.6850116477
    8  07/01/2005             20.14             91.12         4.91        1095.38       6.9997691227
    9  08/01/2005             19.17             90.19         6.21         432.24        6.071291847
   10  09/01/2005             19.47             92.06            9         776.41       6.6559678817
   11  10/01/2005             15.62             76.81        16.19          75.44       4.3365061194
   12  11/01/2005             11.54             66.81        17.23              0                  0
   13  12/01/2005              9.46              58.5         19.3              0                  0
   14  01/01/2006              8.24             49.38        23.38              0                  0
   15  02/01/2006              7.87              38.5        24.25              0                  0
   16  03/01/2006             10.38             48.25         23.8           9.61       2.3617969526
   17  04/01/2006             13.37             56.88        19.78           0.01       0.0099503309
   18  05/01/2006             16.66             63.94        16.48         187.67       5.2399994572
   19  06/01/2006             19.59             81.62         8.96         441.71       6.0929149281
   20  07/01/2006             19.41             91.12         4.73        1122.56       7.0242574947
   21  08/01/2006             18.86             91.56         5.13        1052.65       6.9600156056
   22  09/01/2006             19.29             90.44         8.38         389.08       5.9663518463
   23  10/01/2006             17.03             79.38        14.12         142.46       4.9660562507
   24  11/01/2006             14.34             74.56        13.64          24.05       3.2208738275


