
  Obs        Date  Precipitation  outlier_flag_Precipitation
-----  ----------  -------------  --------------------------
    1  12/01/2004           0.01                           1
    2  01/01/2005           3.47                           0
    3  02/01/2005              0                           1
    4  03/01/2005           0.41                           0
    5  04/01/2005          13.56                           0
    6  05/01/2005          15.65                           0
    7  06/01/2005         799.32                           1
    8  07/01/2005        1095.38                           1
    9  08/01/2005         432.24                           1
   10  09/01/2005         776.41                           1
   11  10/01/2005          75.44                           0
   12  11/01/2005              0                           1
   13  12/01/2005              0                           1
   14  01/01/2006              0                           1
   15  02/01/2006              0                           1
   16  03/01/2006           9.61                           0
   17  04/01/2006           0.01                           1
   18  05/01/2006         187.67                           0
   19  06/01/2006         441.71                           1
   20  07/01/2006        1122.56                           1
   21  08/01/2006        1052.65                           1
   22  09/01/2006         389.08                           1
   23  10/01/2006         142.46                           0
   24  11/01/2006          24.05                           0


