
  Obs        Date  log_precipitation  FORECAST  OriginalForecast        Original        RESIDUAL
-----  ----------  -----------------  --------  ----------------  --------------  --------------
    1  01/01/2000                  0      0.15      1.1618342427               1   -0.1618342427
    2  02/01/2000            0.10436  0.243924       1.276247332     1.109999983    -0.166247349
    3  03/01/2000            0.00995  0.158955      1.1722851927    1.0099996658   -0.1622855268
    4  04/01/2000           0.019803  0.167822      1.1827260667    1.0200003802   -0.1627256865
    5  05/01/2000           5.606317  5.195685    180.4917373011   272.140098035   91.6483607339
    6  06/01/2000           5.751524  5.326372    205.6903741525  314.6698519032  108.9794777507
    7  07/01/2000           6.711071  6.189964    487.8285440707  821.4499413876  333.6213973169
    8  08/01/2000           5.895449  5.455904    234.1364347653  363.3799568761  129.2435221108
    9  09/01/2000           4.593604  4.284243      72.547607389   98.8500445204   26.3024371314
   10  10/01/2000           4.165269  3.898742     49.3403398994    64.410006405   15.0696665056
   11  11/01/2000           1.680828  1.662745      5.2737674854    5.3700004912    0.0962330059
   12  12/01/2000           2.505526  2.404973     11.0781311686   12.2500007719    1.1718696033


